序号, 日期  ,时间 , 模块编号 ,通道, 传感器型号 , 传感器编号,数据1 ,单位1, 数据2 ,单位2,电阻值,温度,预警
311,2013-12-03,11:50,34306002,23,JMZX-XXXX,---,*,,*,,519,1.9,
312,2013-12-03,11:50,34306002,24,JMZX-XXXX,---,*,,*,,514,1.4,
313,2013-12-03,11:50,34306002,25,JMZX-XXXX,---,*,,*,,521,2.1,
314,2013-12-03,11:50,34306002,26,JMZX-XXXX,---,*,,*,,513,1.3,
315,2013-12-03,11:50,34306002,27,JMZX-XXXX,---,*,,*,,514,1.4,
316,2013-12-03,11:50,34306002,28,JMZX-XXXX,---,*,,*,,518,1.8,
317,2013-12-03,11:50,34306002,29,JMZX-XXXX,---,*,,*,,518,1.8,
318,2013-12-03,11:50,34306002,30,JMZX-XXXX,---,*,,*,,517,1.7,
319,2013-12-03,11:50,34306002,31,JMZX-XXXX,---,*,,*,,517,1.7,
320,2013-12-03,11:50,34306002,32,JMZX-XXXX,---,*,,*,,516,1.6,
321,2013-12-03,11:52,34306002,01,JMZX-XXXX,---,*,,*,,503,0.3,
322,2013-12-03,11:52,34306002,02,JMZX-XXXX,---,*,,*,,507,0.7,
323,2013-12-03,11:52,34306002,03,JMZX-XXXX,---,*,,*,,523,2.3,
324,2013-12-03,11:52,34306002,04,JMZX-XXXX,---,*,,*,,508,0.8,
325,2013-12-03,11:52,34306002,05,JMZX-XXXX,---,*,,*,,520,2.0,
326,2013-12-03,11:52,34306002,06,JMZX-XXXX,---,*,,*,,511,1.1,
327,2013-12-03,11:52,34306002,07,JMZX-XXXX,---,*,,*,,509,0.9,
328,2013-12-03,11:52,34306002,08,JMZX-XXXX,---,*,,*,,508,0.8,
329,2013-12-03,11:52,34306002,09,JMZX-XXXX,---,*,,*,,505,0.5,
330,2013-12-03,11:52,34306002,10,JMZX-XXXX,---,*,,*,,506,0.6,
331,2013-12-03,11:52,34306002,11,JMZX-XXXX,---,*,,*,,509,0.9,
332,2013-12-03,11:52,34306002,12,JMZX-XXXX,---,*,,*,,512,1.2,
333,2013-12-03,11:52,34306002,13,JMZX-XXXX,---,*,,*,,509,0.9,
334,2013-12-03,11:52,34306002,14,JMZX-XXXX,---,*,,*,,507,0.7,
335,2013-12-03,11:52,34306002,15,JMZX-XXXX,---,*,,*,,509,0.9,
336,2013-12-03,11:52,34306002,16,JMZX-XXXX,---,*,,*,,512,1.2,
337,2013-12-03,11:52,34306002,17,JMZX-XXXX,---,*,,*,,507,0.7,
338,2013-12-03,11:52,34306002,18,JMZX-XXXX,---,*,,*,,508,0.8,
339,2013-12-03,11:52,34306002,19,JMZX-XXXX,---,*,,*,,508,0.8,
340,2013-12-03,11:52,34306002,20,JMZX-XXXX,---,*,,*,,509,0.9,
341,2013-12-03,11:52,34306002,21,JMZX-XXXX,---,*,,*,,516,1.6,
342,2013-12-03,11:52,34306002,22,JMZX-XXXX,---,*,,*,,518,1.8,
343,2013-12-03,11:52,34306002,23,JMZX-XXXX,---,*,,*,,513,1.3,
344,2013-12-03,11:52,34306002,24,JMZX-XXXX,---,*,,*,,508,0.8,
345,2013-12-03,11:52,34306002,25,JMZX-XXXX,---,*,,*,,514,1.4,
346,2013-12-03,11:52,34306002,26,JMZX-XXXX,---,*,,*,,505,0.5,
347,2013-12-03,11:52,34306002,27,JMZX-XXXX,---,*,,*,,507,0.7,
348,2013-12-03,11:52,34306002,28,JMZX-XXXX,---,*,,*,,511,1.1,
349,2013-12-03,11:52,34306002,29,JMZX-XXXX,---,*,,*,,511,1.1,
350,2013-12-03,11:52,34306002,30,JMZX-XXXX,---,*,,*,,511,1.1,
351,2013-12-03,11:52,34306002,31,JMZX-XXXX,---,*,,*,,510,1.0,
352,2013-12-03,11:52,34306002,32,JMZX-XXXX,---,*,,*,,509,0.9,
