序号, 日期  ,时间 , 模块编号 ,通道, 传感器型号 , 传感器编号,数据1 ,单位1, 数据2 ,单位2,电阻值,温度,预警
62,2013-12-03,11:03,34306002,30,JMZX-XXXX,---,*,,*,,493,-0.7,
63,2013-12-03,11:03,34306002,31,JMZX-XXXX,---,*,,*,,488,-1.2,
64,2013-12-03,11:03,34306002,32,JMZX-XXXX,---,*,,*,,489,-1.1,
65,2013-12-03,11:05,34306002,01,JMZX-XXXX,---,*,,*,,495,-0.5,
66,2013-12-03,11:05,34306002,02,JMZX-XXXX,---,*,,*,,501,0.1,
67,2013-12-03,11:05,34306002,03,JMZX-XXXX,---,*,,*,,515,1.5,
68,2013-12-03,11:05,34306002,04,JMZX-XXXX,---,*,,*,,501,0.1,
69,2013-12-03,11:05,34306002,05,JMZX-XXXX,---,*,,*,,513,1.3,
70,2013-12-03,11:05,34306002,06,JMZX-XXXX,---,*,,*,,505,0.5,
71,2013-12-03,11:05,34306002,07,JMZX-XXXX,---,*,,*,,501,0.1,
72,2013-12-03,11:05,34306002,08,JMZX-XXXX,---,*,,*,,502,0.2,
73,2013-12-03,11:05,34306002,09,JMZX-XXXX,---,*,,*,,497,-0.3,
74,2013-12-03,11:05,34306002,10,JMZX-XXXX,---,*,,*,,500,0.0,
75,2013-12-03,11:05,34306002,11,JMZX-XXXX,---,*,,*,,501,0.1,
76,2013-12-03,11:05,34306002,12,JMZX-XXXX,---,*,,*,,505,0.5,
77,2013-12-03,11:05,34306002,13,JMZX-XXXX,---,*,,*,,502,0.2,
78,2013-12-03,11:05,34306002,14,JMZX-XXXX,---,*,,*,,501,0.1,
79,2013-12-03,11:05,34306002,15,JMZX-XXXX,---,*,,*,,503,0.3,
80,2013-12-03,11:05,34306002,16,JMZX-XXXX,---,*,,*,,505,0.5,
81,2013-12-03,11:05,34306002,17,JMZX-XXXX,---,*,,*,,501,0.1,
82,2013-12-03,11:05,34306002,18,JMZX-XXXX,---,*,,*,,503,0.3,
83,2013-12-03,11:05,34306002,19,JMZX-XXXX,---,*,,*,,502,0.2,
84,2013-12-03,11:05,34306002,20,JMZX-XXXX,---,*,,*,,504,0.4,
85,2013-12-03,11:05,34306002,21,JMZX-XXXX,---,*,,*,,508,0.8,
86,2013-12-03,11:05,34306002,22,JMZX-XXXX,---,*,,*,,512,1.2,
87,2013-12-03,11:05,34306002,23,JMZX-XXXX,---,*,,*,,508,0.8,
88,2013-12-03,11:05,34306002,24,JMZX-XXXX,---,*,,*,,504,0.4,
89,2013-12-03,11:05,34306002,25,JMZX-XXXX,---,*,,*,,506,0.6,
90,2013-12-03,11:05,34306002,26,JMZX-XXXX,---,*,,*,,500,0.0,
91,2013-12-03,11:05,34306002,27,JMZX-XXXX,---,*,,*,,502,0.2,
92,2013-12-03,11:05,34306002,28,JMZX-XXXX,---,*,,*,,506,0.6,
93,2013-12-03,11:05,34306002,29,JMZX-XXXX,---,*,,*,,505,0.5,
94,2013-12-03,11:05,34306002,30,JMZX-XXXX,---,*,,*,,507,0.7,
95,2013-12-03,11:05,34306002,31,JMZX-XXXX,---,*,,*,,505,0.5,
96,2013-12-03,11:05,34306002,32,JMZX-XXXX,---,*,,*,,503,0.3,
97,2013-12-03,11:07,34306002,01,JMZX-XXXX,---,*,,*,,496,-0.4,
98,2013-12-03,11:07,34306002,02,JMZX-XXXX,---,*,,*,,502,0.2,
99,2013-12-03,11:07,34306002,03,JMZX-XXXX,---,*,,*,,515,1.5,
100,2013-12-03,11:07,34306002,04,JMZX-XXXX,---,*,,*,,500,0.0,
101,2013-12-03,11:07,34306002,05,JMZX-XXXX,---,*,,*,,514,1.4,
102,2013-12-03,11:07,34306002,06,JMZX-XXXX,---,*,,*,,505,0.5,
103,2013-12-03,11:07,34306002,07,JMZX-XXXX,---,*,,*,,502,0.2,
104,2013-12-03,11:07,34306002,08,JMZX-XXXX,---,*,,*,,503,0.3,
105,2013-12-03,11:07,34306002,09,JMZX-XXXX,---,*,,*,,498,-0.2,
106,2013-12-03,11:07,34306002,10,JMZX-XXXX,---,*,,*,,500,0.0,
107,2013-12-03,11:07,34306002,11,JMZX-XXXX,---,*,,*,,503,0.3,
108,2013-12-03,11:07,34306002,12,JMZX-XXXX,---,*,,*,,506,0.6,
109,2013-12-03,11:07,34306002,13,JMZX-XXXX,---,*,,*,,502,0.2,
110,2013-12-03,11:07,34306002,14,JMZX-XXXX,---,*,,*,,502,0.2,
111,2013-12-03,11:07,34306002,15,JMZX-XXXX,---,*,,*,,503,0.3,
112,2013-12-03,11:07,34306002,16,JMZX-XXXX,---,*,,*,,506,0.6,
113,2013-12-03,11:07,34306002,17,JMZX-XXXX,---,*,,*,,502,0.2,
114,2013-12-03,11:07,34306002,18,JMZX-XXXX,---,*,,*,,504,0.4,
115,2013-12-03,11:07,34306002,19,JMZX-XXXX,---,*,,*,,503,0.3,
116,2013-12-03,11:07,34306002,20,JMZX-XXXX,---,*,,*,,505,0.5,
117,2013-12-03,11:07,34306002,21,JMZX-XXXX,---,*,,*,,509,0.9,
118,2013-12-03,11:07,34306002,22,JMZX-XXXX,---,*,,*,,513,1.3,
119,2013-12-03,11:07,34306002,23,JMZX-XXXX,---,*,,*,,508,0.8,
120,2013-12-03,11:07,34306002,24,JMZX-XXXX,---,*,,*,,504,0.4,
121,2013-12-03,11:07,34306002,25,JMZX-XXXX,---,*,,*,,496,-0.4,
122,2013-12-03,11:07,34306002,26,JMZX-XXXX,---,*,,*,,488,-1.2,
123,2013-12-03,11:07,34306002,27,JMZX-XXXX,---,*,,*,,491,-0.9,
124,2013-12-03,11:07,34306002,28,JMZX-XXXX,---,*,,*,,498,-0.2,
125,2013-12-03,11:07,34306002,29,JMZX-XXXX,---,*,,*,,508,0.8,
126,2013-12-03,11:07,34306002,30,JMZX-XXXX,---,*,,*,,508,0.8,
127,2013-12-03,11:07,34306002,31,JMZX-XXXX,---,*,,*,,507,0.7,
128,2013-12-03,11:07,34306002,32,JMZX-XXXX,---,*,,*,,490,-1.0,
129,2013-12-03,11:09,34306002,01,JMZX-XXXX,---,*,,*,,496,-0.4,
130,2013-12-03,11:09,34306002,02,JMZX-XXXX,---,*,,*,,502,0.2,
131,2013-12-03,11:09,34306002,03,JMZX-XXXX,---,*,,*,,515,1.5,
