序号, 日期  ,时间 , 模块编号 ,通道, 传感器型号 , 传感器编号,数据1 ,单位1, 数据2 ,单位2,电阻值,温度,预警
1,2013-12-30,11:45,33110001,01,JMQJ-7430Y,---,9.948,度,12.287,度,,,
2,2013-12-30,11:45,33110001,02,0,---,2.755,V,2.77,V,,,
3,2013-12-30,11:45,33110001,03,0,---,3.299,V,1.755,V,,,
4,2013-12-30,11:45,33110001,04,0,---,2.809,V,1.786,V,,,
5,2013-12-30,11:45,33110001,05,0,---,2.644,V,1.804,V,,,
6,2013-12-30,11:45,33110001,06,0,---,2.58,V,1.869,V,,,
7,2013-12-30,11:45,33110001,07,0,---,2.517,V,1.891,V,,,
8,2013-12-30,11:45,33110001,08,0,---,2.45,V,1.886,V,,,
9,2013-12-30,11:45,33110001,09,0,---,2.444,V,1.94,V,,,
10,2013-12-30,11:45,33110001,10,0,---,2.43,V,1.955,V,,,
11,2013-12-30,11:45,33110001,11,0,---,2.379,V,1.945,V,,,
12,2013-12-30,11:45,33110001,12,0,---,2.395,V,1.997,V,,,
13,2013-12-30,11:45,33110001,13,0,---,2.329,V,1.967,V,,,
14,2013-12-30,11:45,33110001,14,0,---,2.322,V,1.957,V,,,
15,2013-12-30,11:45,33110001,15,0,---,2.215,V,1.868,V,,,
16,2013-12-30,11:45,33110001,16,0,---,2.227,V,1.871,V,,,
17,2013-12-30,11:45,33110001,17,0,---,2.217,V,1.849,V,,,
18,2013-12-30,11:45,33110001,18,0,---,2.2,V,1.859,V,,,
19,2013-12-30,11:45,33110001,19,0,---,2.179,V,1.852,V,,,
20,2013-12-30,11:45,33110001,20,0,---,2.187,V,1.868,V,,,
21,2013-12-30,11:45,33110001,21,0,---,2.146,V,1.854,V,,,
22,2013-12-30,11:45,33110001,22,0,---,2.061,V,1.787,V,,,
23,2013-12-30,11:45,33110001,23,0,---,2.038,V,1.778,V,,,
24,2013-12-30,11:45,33110001,24,0,---,2.047,V,1.794,V,,,
25,2013-12-30,11:45,33110001,25,0,---,2.015,V,1.77,V,,,
26,2013-12-30,11:45,33110001,26,0,---,2.031,V,1.79,V,,,
27,2013-12-30,11:45,33110001,27,0,---,2.007,V,1.788,V,,,
28,2013-12-30,11:45,33110001,28,0,---,2.026,V,1.798,V,,,
29,2013-12-30,11:45,33110001,29,0,---,1.94,V,1.735,V,,,
30,2013-12-30,11:45,33110001,30,0,---,1.964,V,1.748,V,,,
31,2013-12-30,11:45,33110001,31,0,---,1.946,V,1.739,V,,,
32,2013-12-30,11:45,33110001,32,0,---,1.964,V,1.761,V,,,
33,2013-12-30,11:46,33110001,01,JMQJ-7430Y,---,9.962,度,12.272,度,,,
34,2013-12-30,11:46,33110001,02,0,---,2.739,V,2.77,V,,,
35,2013-12-30,11:46,33110001,03,0,---,3.298,V,1.755,V,,,
36,2013-12-30,11:46,33110001,04,0,---,2.805,V,1.743,V,,,
37,2013-12-30,11:46,33110001,05,0,---,2.619,V,1.756,V,,,
38,2013-12-30,11:46,33110001,06,0,---,2.568,V,1.806,V,,,
39,2013-12-30,11:46,33110001,07,0,---,2.488,V,1.832,V,,,
40,2013-12-30,11:46,33110001,08,0,---,2.467,V,1.884,V,,,
41,2013-12-30,11:46,33110001,09,0,---,2.471,V,1.932,V,,,
42,2013-12-30,11:46,33110001,10,0,---,2.45,V,1.947,V,,,
43,2013-12-30,11:46,33110001,11,0,---,2.394,V,1.949,V,,,
44,2013-12-30,11:46,33110001,12,0,---,2.414,V,1.989,V,,,
45,2013-12-30,11:46,33110001,13,0,---,2.344,V,1.964,V,,,
46,2013-12-30,11:46,33110001,14,0,---,2.328,V,1.956,V,,,
47,2013-12-30,11:46,33110001,15,0,---,2.225,V,1.853,V,,,
48,2013-12-30,11:46,33110001,16,0,---,2.229,V,1.86,V,,,
49,2013-12-30,11:46,33110001,17,0,---,2.218,V,1.842,V,,,
50,2013-12-30,11:46,33110001,18,0,---,2.207,V,1.841,V,,,
51,2013-12-30,11:46,33110001,19,0,---,2.178,V,1.84,V,,,
52,2013-12-30,11:46,33110001,20,0,---,2.181,V,1.853,V,,,
53,2013-12-30,11:46,33110001,21,0,---,2.148,V,1.83,V,,,
54,2013-12-30,11:46,33110001,22,0,---,2.052,V,1.77,V,,,
55,2013-12-30,11:46,33110001,23,0,---,2.031,V,1.76,V,,,
56,2013-12-30,11:46,33110001,24,0,---,2.046,V,1.768,V,,,
57,2013-12-30,11:46,33110001,25,0,---,2.006,V,1.755,V,,,
58,2013-12-30,11:46,33110001,26,0,---,2.024,V,1.769,V,,,
59,2013-12-30,11:46,33110001,27,0,---,2.005,V,1.763,V,,,
60,2013-12-30,11:46,33110001,28,0,---,2.017,V,1.784,V,,,
61,2013-12-30,11:46,33110001,29,0,---,1.936,V,1.717,V,,,
62,2013-12-30,11:46,33110001,30,0,---,1.965,V,1.728,V,,,
63,2013-12-30,11:46,33110001,31,0,---,1.929,V,1.718,V,,,
64,2013-12-30,11:46,33110001,32,0,---,1.953,V,1.732,V,,,
65,2013-12-30,11:47,33110001,01,JMQJ-7430Y,---,9.962,度,12.302,度,,,
66,2013-12-30,11:47,33110001,02,0,---,2.744,V,2.758,V,,,
67,2013-12-30,11:47,33110001,03,0,---,3.299,V,1.755,V,,,
68,2013-12-30,11:47,33110001,04,0,---,2.805,V,1.771,V,,,
69,2013-12-30,11:47,33110001,05,0,---,2.632,V,1.779,V,,,
70,2013-12-30,11:47,33110001,06,0,---,2.568,V,1.83,V,,,
71,2013-12-30,11:47,33110001,07,0,---,2.477,V,1.847,V,,,
72,2013-12-30,11:47,33110001,08,0,---,2.469,V,1.882,V,,,
73,2013-12-30,11:47,33110001,09,0,---,2.453,V,1.928,V,,,
74,2013-12-30,11:47,33110001,10,0,---,2.429,V,1.937,V,,,
75,2013-12-30,11:47,33110001,11,0,---,2.386,V,1.935,V,,,
76,2013-12-30,11:47,33110001,12,0,---,2.397,V,1.983,V,,,
77,2013-12-30,11:47,33110001,13,0,---,2.332,V,1.956,V,,,
78,2013-12-30,11:47,33110001,14,0,---,2.325,V,1.944,V,,,
79,2013-12-30,11:47,33110001,15,0,---,2.214,V,1.851,V,,,
80,2013-12-30,11:47,33110001,16,0,---,2.223,V,1.854,V,,,
81,2013-12-30,11:47,33110001,17,0,---,2.214,V,1.83,V,,,
82,2013-12-30,11:47,33110001,18,0,---,2.197,V,1.84,V,,,
83,2013-12-30,11:47,33110001,19,0,---,2.174,V,1.834,V,,,
84,2013-12-30,11:47,33110001,20,0,---,2.18,V,1.844,V,,,
85,2013-12-30,11:47,33110001,21,0,---,2.138,V,1.829,V,,,
86,2013-12-30,11:47,33110001,22,0,---,2.051,V,1.764,V,,,
87,2013-12-30,11:47,33110001,23,0,---,2.031,V,1.753,V,,,
88,2013-12-30,11:47,33110001,24,0,---,2.039,V,1.77,V,,,
89,2013-12-30,11:47,33110001,25,0,---,2.005,V,1.746,V,,,
90,2013-12-30,11:47,33110001,26,0,---,2.024,V,1.763,V,,,
91,2013-12-30,11:47,33110001,27,0,---,1.999,V,1.766,V,,,
92,2013-12-30,11:47,33110001,28,0,---,2.021,V,1.778,V,,,
93,2013-12-30,11:47,33110001,29,0,---,1.934,V,1.711,V,,,
94,2013-12-30,11:47,33110001,30,0,---,1.956,V,1.727,V,,,
95,2013-12-30,11:47,33110001,31,0,---,1.929,V,1.708,V,,,
96,2013-12-30,11:47,33110001,32,0,---,1.95,V,1.728,V,,,
97,2013-12-30,11:48,33110001,01,JMQJ-7430Y,---,9.977,度,12.283,度,,,
98,2013-12-30,11:48,33110001,02,0,---,2.745,V,2.766,V,,,
99,2013-12-30,11:48,33110001,03,0,---,3.299,V,1.755,V,,,
100,2013-12-30,11:48,33110001,04,0,---,2.806,V,1.75,V,,,
101,2013-12-30,11:48,33110001,05,0,---,2.625,V,1.76,V,,,
102,2013-12-30,11:48,33110001,06,0,---,2.575,V,1.811,V,,,
103,2013-12-30,11:48,33110001,07,0,---,2.505,V,1.838,V,,,
104,2013-12-30,11:48,33110001,08,0,---,2.492,V,1.916,V,,,
105,2013-12-30,11:48,33110001,09,0,---,2.488,V,1.964,V,,,
106,2013-12-30,11:48,33110001,10,0,---,2.456,V,1.975,V,,,
107,2013-12-30,11:48,33110001,11,0,---,2.404,V,1.974,V,,,
108,2013-12-30,11:48,33110001,12,0,---,2.422,V,2.013,V,,,
109,2013-12-30,11:48,33110001,13,0,---,2.349,V,1.988,V,,,
110,2013-12-30,11:48,33110001,14,0,---,2.335,V,1.978,V,,,
111,2013-12-30,11:48,33110001,15,0,---,2.229,V,1.871,V,,,
112,2013-12-30,11:48,33110001,16,0,---,2.234,V,1.881,V,,,
113,2013-12-30,11:48,33110001,17,0,---,2.222,V,1.86,V,,,
114,2013-12-30,11:48,33110001,18,0,---,2.213,V,1.86,V,,,
115,2013-12-30,11:48,33110001,19,0,---,2.183,V,1.86,V,,,
116,2013-12-30,11:48,33110001,20,0,---,2.188,V,1.872,V,,,
117,2013-12-30,11:48,33110001,21,0,---,2.154,V,1.85,V,,,
118,2013-12-30,11:48,33110001,22,0,---,2.055,V,1.786,V,,,
119,2013-12-30,11:48,33110001,23,0,---,2.034,V,1.777,V,,,
120,2013-12-30,11:48,33110001,24,0,---,2.051,V,1.786,V,,,
121,2013-12-30,11:48,33110001,25,0,---,2.01,V,1.772,V,,,
122,2013-12-30,11:48,33110001,26,0,---,2.038,V,1.793,V,,,
123,2013-12-30,11:48,33110001,27,0,---,2.008,V,1.777,V,,,
124,2013-12-30,11:48,33110001,28,0,---,2.02,V,1.796,V,,,
125,2013-12-30,11:48,33110001,29,0,---,1.93,V,1.721,V,,,
126,2013-12-30,11:48,33110001,30,0,---,1.956,V,1.729,V,,,
127,2013-12-30,11:48,33110001,31,0,---,1.921,V,1.719,V,,,
128,2013-12-30,11:48,33110001,32,0,---,1.946,V,1.736,V,,,
129,2013-12-30,11:57,33110001,01,JMQJ-7430Y,---,9.962,度,12.283,度,,,
130,2013-12-30,11:57,33110001,02,0,---,2.75,V,2.784,V,,,
131,2013-12-30,11:57,33110001,03,0,---,3.305,V,1.752,V,,,
132,2013-12-30,11:57,33110001,04,0,---,2.822,V,1.888,V,,,
133,2013-12-30,11:57,33110001,05,0,---,2.715,V,2.134,V,,,
134,2013-12-30,11:57,33110001,06,0,---,2.697,V,2.516,V,,,
135,2013-12-30,11:57,33110001,07,0,---,2.653,V,2.68,V,,,
136,2013-12-30,11:57,33110001,08,0,---,2.608,V,2.783,V,,,
137,2013-12-30,11:57,33110001,09,0,---,2.536,V,2.637,V,,,
138,2013-12-30,11:57,33110001,10,0,---,2.481,V,2.545,V,,,
139,2013-12-30,11:57,33110001,11,0,---,2.407,V,2.483,V,,,
140,2013-12-30,11:57,33110001,12,0,---,2.411,V,2.466,V,,,
141,2013-12-30,11:57,33110001,13,0,---,2.334,V,2.395,V,,,
142,2013-12-30,11:57,33110001,14,0,---,2.317,V,2.364,V,,,
143,2013-12-30,11:57,33110001,15,0,---,2.27,V,2.318,V,,,
144,2013-12-30,11:57,33110001,16,0,---,2.252,V,2.278,V,,,
145,2013-12-30,11:57,33110001,17,0,---,2.227,V,2.241,V,,,
146,2013-12-30,11:57,33110001,18,0,---,2.214,V,2.224,V,,,
147,2013-12-30,11:57,33110001,19,0,---,2.169,V,2.186,V,,,
148,2013-12-30,11:57,33110001,20,0,---,2.169,V,2.189,V,,,
149,2013-12-30,11:57,33110001,21,0,---,2.056,V,2.058,V,,,
150,2013-12-30,11:57,33110001,22,0,---,1.933,V,1.963,V,,,
151,2013-12-30,11:57,33110001,23,0,---,1.927,V,1.979,V,,,
152,2013-12-30,11:57,33110001,24,0,---,2.044,V,2.097,V,,,
153,2013-12-30,11:57,33110001,25,0,---,2.031,V,2.092,V,,,
154,2013-12-30,11:57,33110001,26,0,---,2.06,V,2.114,V,,,
155,2013-12-30,11:57,33110001,27,0,---,1.895,V,1.914,V,,,
156,2013-12-30,11:57,33110001,28,0,---,1.719,V,1.72,V,,,
157,2013-12-30,11:57,33110001,29,0,---,1.612,V,1.648,V,,,
158,2013-12-30,11:57,33110001,30,0,---,1.633,V,1.652,V,,,
159,2013-12-30,11:57,33110001,31,0,---,1.624,V,1.649,V,,,
160,2013-12-30,11:57,33110001,32,0,---,1.661,V,1.687,V,,,
161,2013-12-30,11:58,33110001,01,JMQJ-7430Y,---,9.948,度,12.272,度,,,
162,2013-12-30,11:58,33110001,02,0,---,2.726,V,2.753,V,,,
163,2013-12-30,11:58,33110001,03,0,---,3.305,V,1.751,V,,,
164,2013-12-30,11:58,33110001,04,0,---,2.8,V,1.677,V,,,
165,2013-12-30,11:58,33110001,05,0,---,2.558,V,1.603,V,,,
166,2013-12-30,11:58,33110001,06,0,---,2.482,V,1.575,V,,,
167,2013-12-30,11:58,33110001,07,0,---,2.379,V,1.442,V,,,
168,2013-12-30,11:58,33110001,08,0,---,2.217,V,1.271,V,,,
169,2013-12-30,11:58,33110001,09,0,---,2.235,V,1.333,V,,,
170,2013-12-30,11:58,33110001,10,0,---,2.234,V,1.352,V,,,
171,2013-12-30,11:58,33110001,11,0,---,2.202,V,1.374,V,,,
172,2013-12-30,11:58,33110001,12,0,---,2.248,V,1.451,V,,,
173,2013-12-30,11:58,33110001,13,0,---,2.2,V,1.439,V,,,
174,2013-12-30,11:58,33110001,14,0,---,2.194,V,1.445,V,,,
175,2013-12-30,11:58,33110001,15,0,---,2.163,V,1.449,V,,,
176,2013-12-30,11:58,33110001,16,0,---,2.181,V,1.465,V,,,
177,2013-12-30,11:58,33110001,17,0,---,2.165,V,1.452,V,,,
178,2013-12-30,11:58,33110001,18,0,---,2.152,V,1.468,V,,,
179,2013-12-30,11:58,33110001,19,0,---,2.131,V,1.468,V,,,
180,2013-12-30,11:58,33110001,20,0,---,2.139,V,1.494,V,,,
181,2013-12-30,11:58,33110001,21,0,---,2.096,V,1.481,V,,,
182,2013-12-30,11:58,33110001,22,0,---,2.011,V,1.423,V,,,
183,2013-12-30,11:58,33110001,23,0,---,1.992,V,1.425,V,,,
184,2013-12-30,11:58,33110001,24,0,---,2.005,V,1.447,V,,,
185,2013-12-30,11:58,33110001,25,0,---,1.968,V,1.427,V,,,
186,2013-12-30,11:58,33110001,26,0,---,1.991,V,1.456,V,,,
187,2013-12-30,11:58,33110001,27,0,---,1.97,V,1.464,V,,,
188,2013-12-30,11:58,33110001,28,0,---,1.996,V,1.487,V,,,
189,2013-12-30,11:58,33110001,29,0,---,1.914,V,1.429,V,,,
190,2013-12-30,11:58,33110001,30,0,---,1.935,V,1.447,V,,,
191,2013-12-30,11:58,33110001,31,0,---,1.911,V,1.437,V,,,
192,2013-12-30,11:58,33110001,32,0,---,1.921,V,1.441,V,,,
193,2013-12-30,11:59,33110001,01,JMQJ-7430Y,---,9.948,度,12.279,度,,,
194,2013-12-30,11:59,33110001,02,0,---,2.741,V,2.762,V,,,
195,2013-12-30,11:59,33110001,03,0,---,3.306,V,1.751,V,,,
196,2013-12-30,11:59,33110001,04,0,---,2.801,V,1.74,V,,,
197,2013-12-30,11:59,33110001,05,0,---,2.589,V,1.669,V,,,
198,2013-12-30,11:59,33110001,06,0,---,2.477,V,1.521,V,,,
199,2013-12-30,11:59,33110001,07,0,---,2.313,V,1.337,V,,,
200,2013-12-30,11:59,33110001,08,0,---,2.172,V,1.226,V,,,
201,2013-12-30,11:59,33110001,09,0,---,2.213,V,1.307,V,,,
202,2013-12-30,11:59,33110001,10,0,---,2.219,V,1.346,V,,,
203,2013-12-30,11:59,33110001,11,0,---,2.195,V,1.367,V,,,
204,2013-12-30,11:59,33110001,12,0,---,2.233,V,1.423,V,,,
205,2013-12-30,11:59,33110001,13,0,---,2.173,V,1.411,V,,,
206,2013-12-30,11:59,33110001,14,0,---,2.18,V,1.428,V,,,
207,2013-12-30,11:59,33110001,15,0,---,2.081,V,1.331,V,,,
208,2013-12-30,11:59,33110001,16,0,---,2.093,V,1.35,V,,,
209,2013-12-30,11:59,33110001,17,0,---,2.083,V,1.338,V,,,
210,2013-12-30,11:59,33110001,18,0,---,2.075,V,1.343,V,,,
211,2013-12-30,11:59,33110001,19,0,---,2.038,V,1.335,V,,,
212,2013-12-30,11:59,33110001,20,0,---,2.056,V,1.37,V,,,
213,2013-12-30,11:59,33110001,21,0,---,2.022,V,1.352,V,,,
214,2013-12-30,11:59,33110001,22,0,---,1.93,V,1.297,V,,,
215,2013-12-30,11:59,33110001,23,0,---,1.907,V,1.292,V,,,
216,2013-12-30,11:59,33110001,24,0,---,1.925,V,1.307,V,,,
217,2013-12-30,11:59,33110001,25,0,---,1.887,V,1.297,V,,,
218,2013-12-30,11:59,33110001,26,0,---,1.905,V,1.32,V,,,
219,2013-12-30,11:59,33110001,27,0,---,1.889,V,1.32,V,,,
220,2013-12-30,11:59,33110001,28,0,---,1.92,V,1.358,V,,,
221,2013-12-30,11:59,33110001,29,0,---,1.838,V,1.301,V,,,
222,2013-12-30,11:59,33110001,30,0,---,1.863,V,1.31,V,,,
223,2013-12-30,11:59,33110001,31,0,---,1.833,V,1.301,V,,,
224,2013-12-30,11:59,33110001,32,0,---,1.853,V,1.327,V,,,
225,2013-12-30,12:00,33110001,01,JMQJ-7430Y,---,9.962,度,12.287,度,,,
226,2013-12-30,12:00,33110001,02,0,---,2.733,V,2.769,V,,,
227,2013-12-30,12:00,33110001,03,0,---,3.306,V,1.751,V,,,
228,2013-12-30,12:00,33110001,04,0,---,2.821,V,1.805,V,,,
229,2013-12-30,12:00,33110001,05,0,---,2.678,V,1.948,V,,,
230,2013-12-30,12:00,33110001,06,0,---,2.668,V,2.231,V,,,
231,2013-12-30,12:00,33110001,07,0,---,2.719,V,2.606,V,,,
232,2013-12-30,12:00,33110001,08,0,---,2.711,V,2.728,V,,,
233,2013-12-30,12:00,33110001,09,0,---,2.546,V,2.529,V,,,
234,2013-12-30,12:00,33110001,10,0,---,2.364,V,2.328,V,,,
235,2013-12-30,12:00,33110001,11,0,---,2.377,V,2.382,V,,,
236,2013-12-30,12:00,33110001,12,0,---,2.467,V,2.451,V,,,
237,2013-12-30,12:00,33110001,13,0,---,2.362,V,2.368,V,,,
238,2013-12-30,12:00,33110001,14,0,---,2.348,V,2.337,V,,,
239,2013-12-30,12:00,33110001,15,0,---,2.239,V,2.218,V,,,
240,2013-12-30,12:00,33110001,16,0,---,2.25,V,2.211,V,,,
241,2013-12-30,12:00,33110001,17,0,---,2.238,V,2.182,V,,,
242,2013-12-30,12:00,33110001,18,0,---,2.214,V,2.165,V,,,
243,2013-12-30,12:00,33110001,19,0,---,2.188,V,2.148,V,,,
244,2013-12-30,12:00,33110001,20,0,---,2.196,V,2.163,V,,,
245,2013-12-30,12:00,33110001,21,0,---,2.16,V,2.134,V,,,
246,2013-12-30,12:00,33110001,22,0,---,2.067,V,2.056,V,,,
247,2013-12-30,12:00,33110001,23,0,---,2.042,V,2.044,V,,,
248,2013-12-30,12:00,33110001,24,0,---,2.054,V,2.049,V,,,
249,2013-12-30,12:00,33110001,25,0,---,2.02,V,2.02,V,,,
250,2013-12-30,12:00,33110001,26,0,---,2.039,V,2.041,V,,,
251,2013-12-30,12:00,33110001,27,0,---,2.018,V,2.033,V,,,
252,2013-12-30,12:00,33110001,28,0,---,2.041,V,2.042,V,,,
253,2013-12-30,12:00,33110001,29,0,---,1.949,V,1.97,V,,,
254,2013-12-30,12:00,33110001,30,0,---,1.976,V,1.98,V,,,
255,2013-12-30,12:00,33110001,31,0,---,1.95,V,1.96,V,,,
256,2013-12-30,12:00,33110001,32,0,---,1.97,V,1.979,V,,,
257,2013-12-30,12:01,33110001,01,JMQJ-7430Y,---,9.962,度,12.283,度,,,
258,2013-12-30,12:01,33110001,02,0,---,2.728,V,2.771,V,,,
259,2013-12-30,12:01,33110001,03,0,---,3.306,V,1.751,V,,,
260,2013-12-30,12:01,33110001,04,0,---,2.776,V,1.669,V,,,
261,2013-12-30,12:01,33110001,05,0,---,2.581,V,1.673,V,,,
262,2013-12-30,12:01,33110001,06,0,---,2.629,V,1.832,V,,,
263,2013-12-30,12:01,33110001,07,0,---,2.594,V,2.007,V,,,
264,2013-12-30,12:01,33110001,08,0,---,2.539,V,2.24,V,,,
265,2013-12-30,12:01,33110001,09,0,---,2.536,V,2.219,V,,,
266,2013-12-30,12:01,33110001,10,0,---,2.488,V,2.196,V,,,
267,2013-12-30,12:01,33110001,11,0,---,2.412,V,2.204,V,,,
268,2013-12-30,12:01,33110001,12,0,---,2.43,V,2.205,V,,,
269,2013-12-30,12:01,33110001,13,0,---,2.36,V,2.161,V,,,
270,2013-12-30,12:01,33110001,14,0,---,2.325,V,2.164,V,,,
271,2013-12-30,12:01,33110001,15,0,---,2.295,V,2.124,V,,,
272,2013-12-30,12:01,33110001,16,0,---,2.302,V,2.11,V,,,
273,2013-12-30,12:01,33110001,17,0,---,2.261,V,2.103,V,,,
274,2013-12-30,12:01,33110001,18,0,---,2.255,V,2.085,V,,,
275,2013-12-30,12:01,33110001,19,0,---,2.236,V,2.062,V,,,
276,2013-12-30,12:01,33110001,20,0,---,2.212,V,2.089,V,,,
277,2013-12-30,12:01,33110001,21,0,---,2.18,V,2.05,V,,,
278,2013-12-30,12:01,33110001,22,0,---,2.099,V,1.967,V,,,
279,2013-12-30,12:01,33110001,23,0,---,2.052,V,1.975,V,,,
280,2013-12-30,12:01,33110001,24,0,---,2.074,V,1.978,V,,,
281,2013-12-30,12:01,33110001,25,0,---,2.051,V,1.94,V,,,
282,2013-12-30,12:01,33110001,26,0,---,2.045,V,1.972,V,,,
283,2013-12-30,12:01,33110001,27,0,---,2.025,V,1.959,V,,,
284,2013-12-30,12:01,33110001,28,0,---,2.059,V,1.955,V,,,
285,2013-12-30,12:01,33110001,29,0,---,1.953,V,1.906,V,,,
286,2013-12-30,12:01,33110001,30,0,---,1.981,V,1.914,V,,,
287,2013-12-30,12:01,33110001,31,0,---,1.968,V,1.878,V,,,
288,2013-12-30,12:01,33110001,32,0,---,1.971,V,1.914,V,,,
289,2013-12-30,12:46,33110001,01,JMQJ-7430Y,---,9.962,度,12.279,度,,,
290,2013-12-30,12:46,33110001,02,0,---,2.737,V,2.764,V,,,
291,2013-12-30,12:46,33110001,03,0,---,3.309,V,1.748,V,,,
292,2013-12-30,12:46,33110001,04,0,---,2.81,V,1.731,V,,,
293,2013-12-30,12:46,33110001,05,0,---,2.621,V,1.749,V,,,
294,2013-12-30,12:46,33110001,06,0,---,2.56,V,1.794,V,,,
295,2013-12-30,12:46,33110001,07,0,---,2.509,V,1.812,V,,,
296,2013-12-30,12:46,33110001,08,0,---,2.474,V,1.852,V,,,
297,2013-12-30,12:46,33110001,09,0,---,2.459,V,1.887,V,,,
298,2013-12-30,12:46,33110001,10,0,---,2.438,V,1.893,V,,,
299,2013-12-30,12:46,33110001,11,0,---,2.388,V,1.901,V,,,
300,2013-12-30,12:46,33110001,12,0,---,2.403,V,1.947,V,,,
301,2013-12-30,12:46,33110001,13,0,---,2.341,V,1.917,V,,,
302,2013-12-30,12:46,33110001,14,0,---,2.325,V,1.914,V,,,
303,2013-12-30,12:46,33110001,15,0,---,2.217,V,1.814,V,,,
304,2013-12-30,12:46,33110001,16,0,---,2.228,V,1.816,V,,,
305,2013-12-30,12:46,33110001,17,0,---,2.214,V,1.801,V,,,
306,2013-12-30,12:46,33110001,18,0,---,2.201,V,1.806,V,,,
307,2013-12-30,12:46,33110001,19,0,---,2.181,V,1.799,V,,,
308,2013-12-30,12:46,33110001,20,0,---,2.18,V,1.817,V,,,
309,2013-12-30,12:46,33110001,21,0,---,2.144,V,1.799,V,,,
310,2013-12-30,12:46,33110001,22,0,---,2.051,V,1.728,V,,,
311,2013-12-30,12:46,33110001,23,0,---,2.027,V,1.724,V,,,
312,2013-12-30,12:46,33110001,24,0,---,2.04,V,1.737,V,,,
313,2013-12-30,12:46,33110001,25,0,---,2.008,V,1.715,V,,,
314,2013-12-30,12:46,33110001,26,0,---,2.021,V,1.735,V,,,
315,2013-12-30,12:46,33110001,27,0,---,2,V,1.733,V,,,
316,2013-12-30,12:46,33110001,28,0,---,2.021,V,1.747,V,,,
317,2013-12-30,12:46,33110001,29,0,---,1.933,V,1.684,V,,,
318,2013-12-30,12:46,33110001,30,0,---,1.959,V,1.699,V,,,
319,2013-12-30,12:46,33110001,31,0,---,1.934,V,1.681,V,,,
320,2013-12-30,12:46,33110001,32,0,---,1.952,V,1.704,V,,,
321,2013-12-30,12:51,33110001,01,JMQJ-7430Y,---,9.948,度,12.287,度,,,
322,2013-12-30,12:51,33110001,02,0,---,2.741,V,2.756,V,,,
323,2013-12-30,12:51,33110001,03,0,---,3.309,V,1.748,V,,,
324,2013-12-30,12:51,33110001,04,0,---,2.802,V,1.764,V,,,
325,2013-12-30,12:51,33110001,05,0,---,2.629,V,1.775,V,,,
326,2013-12-30,12:51,33110001,06,0,---,2.568,V,1.83,V,,,
327,2013-12-30,12:51,33110001,07,0,---,2.503,V,1.85,V,,,
328,2013-12-30,12:51,33110001,08,0,---,2.426,V,1.836,V,,,
329,2013-12-30,12:51,33110001,09,0,---,2.422,V,1.888,V,,,
330,2013-12-30,12:51,33110001,10,0,---,2.4,V,1.899,V,,,
331,2013-12-30,12:51,33110001,11,0,---,2.36,V,1.896,V,,,
332,2013-12-30,12:51,33110001,12,0,---,2.375,V,1.944,V,,,
333,2013-12-30,12:51,33110001,13,0,---,2.309,V,1.92,V,,,
334,2013-12-30,12:51,33110001,14,0,---,2.303,V,1.907,V,,,
335,2013-12-30,12:51,33110001,15,0,---,2.261,V,1.898,V,,,
336,2013-12-30,12:51,33110001,16,0,---,2.262,V,1.903,V,,,
337,2013-12-30,12:51,33110001,17,0,---,2.253,V,1.877,V,,,
338,2013-12-30,12:51,33110001,18,0,---,2.233,V,1.884,V,,,
339,2013-12-30,12:51,33110001,19,0,---,2.205,V,1.88,V,,,
340,2013-12-30,12:51,33110001,20,0,---,2.21,V,1.888,V,,,
341,2013-12-30,12:51,33110001,21,0,---,2.168,V,1.872,V,,,
342,2013-12-30,12:51,33110001,22,0,---,2.065,V,1.799,V,,,
343,2013-12-30,12:51,33110001,23,0,---,2.048,V,1.785,V,,,
344,2013-12-30,12:51,33110001,24,0,---,2.055,V,1.801,V,,,
345,2013-12-30,12:51,33110001,25,0,---,2.019,V,1.782,V,,,
346,2013-12-30,12:51,33110001,26,0,---,2.038,V,1.793,V,,,
347,2013-12-30,12:51,33110001,27,0,---,2.012,V,1.794,V,,,
348,2013-12-30,12:51,33110001,28,0,---,2.029,V,1.81,V,,,
349,2013-12-30,12:51,33110001,29,0,---,1.945,V,1.736,V,,,
350,2013-12-30,12:51,33110001,30,0,---,1.966,V,1.754,V,,,
351,2013-12-30,12:51,33110001,31,0,---,1.938,V,1.738,V,,,
352,2013-12-30,12:51,33110001,32,0,---,1.962,V,1.753,V,,,
353,2013-12-30,12:56,33110001,01,JMQJ-7430Y,---,9.962,度,12.294,度,,,
354,2013-12-30,12:56,33110001,02,0,---,2.742,V,2.755,V,,,
355,2013-12-30,12:56,33110001,03,0,---,3.309,V,1.748,V,,,
356,2013-12-30,12:56,33110001,04,0,---,2.808,V,1.748,V,,,
357,2013-12-30,12:56,33110001,05,0,---,2.633,V,1.764,V,,,
358,2013-12-30,12:56,33110001,06,0,---,2.563,V,1.813,V,,,
