序号, 日期  ,时间 , 模块编号 ,通道, 传感器型号 , 传感器编号,数据1 ,单位1, 数据2 ,单位2,电阻值,温度,预警
1,2013-12-03,11:01,34212005,01,JMZX-XXXX,---,*,,*,,505,0.5,
2,2013-12-03,11:01,34212005,02,JMZX-XXXX,---,*,,*,,505,0.5,
3,2013-12-03,11:01,34212005,03,JMZX-XXXX,---,*,,*,,500,0.0,
4,2013-12-03,11:01,34212005,04,JMZX-XXXX,---,*,,*,,498,-0.2,
5,2013-12-03,11:01,34212005,05,JMZX-XXXX,---,*,,*,,504,0.4,
6,2013-12-03,11:01,34212005,06,JMZX-XXXX,---,*,,*,,505,0.5,
7,2013-12-03,11:01,34212005,07,JMZX-XXXX,---,*,,*,,512,1.2,
8,2013-12-03,11:01,34212005,08,JMZX-XXXX,---,*,,*,,501,0.1,
9,2013-12-03,11:01,34212005,09,JMZX-XXXX,---,*,,*,,503,0.3,
10,2013-12-03,11:01,34212005,10,JMZX-XXXX,---,*,,*,,514,1.4,
11,2013-12-03,11:01,34212005,11,JMZX-XXXX,---,*,,*,,503,0.3,
12,2013-12-03,11:01,34212005,12,JMZX-XXXX,---,*,,*,,509,0.9,
13,2013-12-03,11:01,34212005,13,JMZX-XXXX,---,*,,*,,509,0.9,
14,2013-12-03,11:01,34212005,14,JMZX-XXXX,---,*,,*,,513,1.3,
15,2013-12-03,11:01,34212005,15,JMZX-XXXX,---,*,,*,,500,0.0,
16,2013-12-03,11:01,34212005,16,JMZX-XXXX,---,*,,*,,500,0.0,
17,2013-12-03,11:01,34212005,17,JMZX-XXXX,---,*,,*,,505,0.5,
18,2013-12-03,11:01,34212005,18,JMZX-XXXX,---,*,,*,,514,1.4,
19,2013-12-03,11:01,34212005,19,JMZX-XXXX,---,*,,*,,503,0.3,
20,2013-12-03,11:01,34212005,20,JMZX-XXXX,---,*,,*,,507,0.7,
21,2013-12-03,11:01,34212005,21,JMZX-XXXX,---,*,,*,,507,0.7,
22,2013-12-03,11:01,34212005,22,JMZX-XXXX,---,*,,*,,504,0.4,
23,2013-12-03,11:01,34212005,23,JMZX-XXXX,---,*,,*,,513,1.3,
24,2013-12-03,11:01,34212005,24,JMZX-XXXX,---,*,,*,,511,1.1,
25,2013-12-03,11:01,34212005,25,JMZX-XXXX,---,*,,*,,506,0.6,
26,2013-12-03,11:01,34212005,26,JMZX-XXXX,---,*,,*,,508,0.8,
27,2013-12-03,11:01,34212005,27,JMZX-XXXX,---,*,,*,,513,1.3,
28,2013-12-03,11:01,34212005,28,JMZX-XXXX,---,*,,*,,508,0.8,
29,2013-12-03,11:01,34212005,29,JMZX-XXXX,---,*,,*,,514,1.4,
30,2013-12-03,11:01,34212005,30,JMZX-XXXX,---,*,,*,,503,0.3,
31,2013-12-03,11:01,34212005,31,JMZX-XXXX,---,*,,*,,509,0.9,
32,2013-12-03,11:01,34212005,32,JMZX-XXXX,---,*,,*,,514,1.4,
33,2013-12-03,11:03,34212005,01,JMZX-XXXX,---,*,,*,,505,0.5,
